tag,稳定段总推进力,稳定段刀盘扭矩,稳定段推进速度
0,15713.91974,2942.392641,60.83314267
1,16015.02828,3013.518114,67.05818797
2,15891.69147,3179.002699,73.1904141
3,16218.16112,3119.361978,69.30692463
4,16051.47614,3172.595804,69.89331471
5,18342.42524,3013.220918,66.58043495
6,17358.14431,2657.163266,63.93757212
7,12261.25375,1370.768179,32.26763359
8,16975.58267,3200.057552,70.48208008
9,17423.11741,3066.926265,65.59021875
10,16766.57589,2762.575388,58.67710079
11,17273.52,2401.740375,51.94760561
12,17295.50119,2537.502591,55.47151693
13,16779.34071,2496.993468,55.26619018
14,16851.55698,2486.013825,57.09060059
15,15933.31996,2855.320806,66.19874308
16,12091.37486,1487.854634,35.57291592
17,16497.43053,2079.444166,47.00089018
18,16799.43102,2526.25951,56.35334369
19,15059.08978,2648.677084,62.03316365
20,15317.31313,2713.286789,72.90524136
21,14927.5612,2686.083159,74.40782724
22,12017.10789,2418.772826,75.53551545
23,12048.05648,2350.9225,75.24700521
24,13085.43425,2375.652937,74.93297669
25,13649.28119,2575.204739,77.66895088
26,12966.6702,2336.235141,69.73968263
27,13340.97521,2525.973617,72.60293064
28,5321.30645,576.2750133,17.16067546
29,13020.22196,2406.651895,74.93606845
30,13041.91017,2277.794831,74.32947463
31,12099.07924,2288.848349,74.62384124
32,13826.51316,2469.981491,71.86874569
33,13507.81251,2544.826574,74.75469079
34,13883.5592,2635.261089,74.15840481
35,13635.43756,2797.267189,74.58709049
36,6355.854731,1646.657294,59.23926309
37,6158.775531,1110.967375,61.7457318
38,6944.180551,1241.120581,62.77096932
39,10336.62918,2386.21817,77.13864796
40,9608.466671,1674.166771,70.54163021
41,10412.78387,2097.560237,73.5264372
42,12269.09367,2309.42621,74.05942383
43,15099.48233,2980.382443,58.24029862
44,15777.80167,3085.392409,62.24324195
45,15028.40245,3071.832562,70.60381165
46,13078.94522,3024.163072,73.87718309
47,14713.32486,3003.447806,71.9534389
48,17472.56681,3106.42224,56.3428237
49,16802.94003,3060.831524,58.3929097
50,15924.41281,3042.487781,67.06639914
51,13349.86066,1968.719717,43.65239679
52,15698.23516,3051.230086,67.57275886
53,15352.71344,2967.770203,71.75992695
54,14177.19575,2706.574476,71.62354024
55,14347.36434,2833.705776,80.46438249
56,14521.02856,2715.69344,77.50303103
57,8833.257578,1792.923466,77.61269321
58,6218.913598,1441.391684,50.27028651
59,8652.201074,1614.874079,47.8169169
60,15687.22196,2958.24187,57.9694458
61,11934.41881,1885.999475,72.2534899
62,10904.7324,1657.692206,66.30390661
63,9273.995199,1535.733499,70.53943317
64,6586.613246,970.1307818,72.08297054
65,6036.484321,921.9848671,61.43587294
66,13699.91585,2245.002526,57.52681511
67,9996.508636,1662.025,48.89207576
68,11631.76266,1991.341081,50.98120672
69,13537.03254,2108.846097,46.21205305
70,14721.86019,2488.38385,50.82542309
71,17471.36414,2421.652915,35.67737497
72,15017.84986,3126.569765,47.86169376
73,15016.16211,3029.331418,53.03120942
74,16575.17965,3216.011397,51.24333596
75,16219.24134,2994.616129,48.98687364
76,16495.18759,2916.401263,44.04021792
77,17027.45542,2498.228155,37.69320296
78,16681.37766,2376.651211,36.81355577
79,17021.62982,2582.368156,45.39988632
80,5502.607525,855.5725556,62.21332483
81,7523.065801,1480.042469,67.19629399
82,6859.639637,1451.502192,64.65605535
83,14510.47501,3059.490711,57.52683126
84,15339.28894,3157.021953,60.56038317
85,15034.50653,3176.78407,61.44781705
86,16025.56017,3141.481154,52.95467662
87,15310.80628,2960.931007,62.29873974
88,14459.19246,2839.849488,61.16829672
89,15398.61353,3269.417317,62.66610549
90,12991.66593,2892.855119,61.18328079
91,14708.96315,2913.767423,65.48582088
92,12418.14883,3042.715488,74.86081414
93,13348.70621,3105.840989,70.3966206
94,13157.05899,3117.434622,65.92114569
95,13529.03802,3192.932519,71.9448677
96,15898.24673,3133.479089,60.02377143
97,12240.35109,2798.885122,99.58452742
98,9787.115922,2681.153483,98.49205393
99,9576.32106,2381.893417,94.94308884
100,12165.39039,2820.014831,85.52911763
